"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"109526","Electric",6,"Autonomous",150,5,10,150,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,4.13888888888889
"109580","Electric",6,"Autonomous",180,5,10,150,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,4.13888888888889
"121031","Electric",8,"Autonomous",30,0,120,150,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,3.75
"124055","Electric",8,"Autonomous",30,0,360,150,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,3.75
"127134","Hybrid",8,"Autonomous",60,0,5,200,10,0.5,2.5,1,6,1,3,0.8,3,1,8,1,7,1,6,0,1,0.7,4.38888888888889
"130586","Electric",6,"Autonomous",90,5,10,200,10,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,1,6,0,1,0.7,3.94444444444444
"130640","Electric",6,"Autonomous",120,5,10,200,10,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,1,6,0,1,0.7,3.94444444444444
"130694","Electric",6,"Autonomous",150,5,10,200,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,4.13888888888889
"130748","Electric",6,"Autonomous",180,5,10,200,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,4.13888888888889
"142199","Electric",8,"Autonomous",30,0,120,200,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,3.75
"145223","Electric",8,"Autonomous",30,0,360,200,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,3.75
"211860","Hybrid",8,"Autonomous",90,0,5,80,20,0.5,2.5,1,6,1,3,1,4,1,8,1,7,0.6,4,0.2,2,0.7,4.5
"211914","Hybrid",8,"Autonomous",120,0,5,80,20,0.5,2.5,1,6,1,3,1,4,1,8,1,7,0.6,4,0.2,2,0.7,4.5
"211968","Hybrid",8,"Autonomous",150,0,5,80,20,0.5,2.5,1,6,1,3,1,5,1,8,1,7,0.6,4,0.2,2,0.7,4.69444444444444
"212022","Hybrid",8,"Autonomous",180,0,5,80,20,0.5,2.5,1,6,1,3,1,5,1,8,1,7,0.6,4,0.2,2,0.7,4.69444444444444
"236052","Hybrid",8,"Autonomous",90,0,10,100,20,0.5,2.5,1,6,1,3,1,4,1,8,0.7,6,0.8,5,0.2,2,0.7,4.47222222222222
"236106","Hybrid",8,"Autonomous",120,0,10,100,20,0.5,2.5,1,6,1,3,1,4,1,8,0.7,6,0.8,5,0.2,2,0.7,4.47222222222222
"236160","Hybrid",8,"Autonomous",150,0,10,100,20,0.5,2.5,1,6,1,3,1,5,1,8,0.7,6,0.8,5,0.2,2,0.7,4.66666666666667
"236214","Hybrid",8,"Autonomous",180,0,10,100,20,0.5,2.5,1,6,1,3,1,5,1,8,0.7,6,0.8,5,0.2,2,0.7,4.66666666666667
"254574","Hybrid",8,"Autonomous",90,5,5,150,20,0.5,2.5,1,6,1,3,1,4,0.7,7,1,7,1,6,0.2,2,0.7,4.5
"254628","Hybrid",8,"Autonomous",120,5,5,150,20,0.5,2.5,1,6,1,3,1,4,0.7,7,1,7,1,6,0.2,2,0.7,4.5
"254682","Hybrid",8,"Autonomous",150,5,5,150,20,0.5,2.5,1,6,1,3,1,5,0.7,7,1,7,1,6,0.2,2,0.7,4.69444444444444
"254736","Hybrid",8,"Autonomous",180,5,5,150,20,0.5,2.5,1,6,1,3,1,5,0.7,7,1,7,1,6,0.2,2,0.7,4.69444444444444
"260244","Hybrid",8,"Autonomous",90,0,30,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"260298","Hybrid",8,"Autonomous",120,0,30,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"260352","Hybrid",8,"Autonomous",150,0,30,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"260406","Hybrid",8,"Autonomous",180,0,30,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"263268","Hybrid",8,"Autonomous",90,0,45,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"263322","Hybrid",8,"Autonomous",120,0,45,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"263376","Hybrid",8,"Autonomous",150,0,45,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"263430","Hybrid",8,"Autonomous",180,0,45,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"266292","Hybrid",8,"Autonomous",90,0,60,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"266346","Hybrid",8,"Autonomous",120,0,60,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"266400","Hybrid",8,"Autonomous",150,0,60,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"266454","Hybrid",8,"Autonomous",180,0,60,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"269312","Electric",6,"Autonomous",90,0,120,150,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"269366","Electric",6,"Autonomous",120,0,120,150,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"269420","Electric",6,"Autonomous",150,0,120,150,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"269474","Electric",6,"Autonomous",180,0,120,150,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"272336","Electric",6,"Autonomous",90,0,360,150,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"272390","Electric",6,"Autonomous",120,0,360,150,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"272444","Electric",6,"Autonomous",150,0,360,150,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"272498","Electric",6,"Autonomous",180,0,360,150,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"275742","Hybrid",8,"Autonomous",90,5,5,200,20,0.5,2.5,1,6,1,3,1,4,0.7,7,1,7,1,6,0.2,2,0.7,4.5
"275796","Hybrid",8,"Autonomous",120,5,5,200,20,0.5,2.5,1,6,1,3,1,4,0.7,7,1,7,1,6,0.2,2,0.7,4.5
"275850","Hybrid",8,"Autonomous",150,5,5,200,20,0.5,2.5,1,6,1,3,1,5,0.7,7,1,7,1,6,0.2,2,0.7,4.69444444444444
"275904","Hybrid",8,"Autonomous",180,5,5,200,20,0.5,2.5,1,6,1,3,1,5,0.7,7,1,7,1,6,0.2,2,0.7,4.69444444444444
"281412","Hybrid",8,"Autonomous",90,0,30,200,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"281466","Hybrid",8,"Autonomous",120,0,30,200,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"281520","Hybrid",8,"Autonomous",150,0,30,200,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"281574","Hybrid",8,"Autonomous",180,0,30,200,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"284436","Hybrid",8,"Autonomous",90,0,45,200,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"284490","Hybrid",8,"Autonomous",120,0,45,200,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"284544","Hybrid",8,"Autonomous",150,0,45,200,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"284598","Hybrid",8,"Autonomous",180,0,45,200,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"287460","Hybrid",8,"Autonomous",90,0,60,200,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"287514","Hybrid",8,"Autonomous",120,0,60,200,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,4.44444444444444
"287568","Hybrid",8,"Autonomous",150,0,60,200,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"287622","Hybrid",8,"Autonomous",180,0,60,200,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,4.63888888888889
"290480","Electric",6,"Autonomous",90,0,120,200,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"290534","Electric",6,"Autonomous",120,0,120,200,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"290588","Electric",6,"Autonomous",150,0,120,200,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"290642","Electric",6,"Autonomous",180,0,120,200,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"293504","Electric",6,"Autonomous",90,0,360,200,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"293558","Electric",6,"Autonomous",120,0,360,200,20,1,2,0.7,4,1,3,1,4,1,8,0,3,1,6,0.2,2,0.7,3.83333333333333
"293612","Electric",6,"Autonomous",150,0,360,200,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"293666","Electric",6,"Autonomous",180,0,360,200,20,1,2,0.7,4,1,3,1,5,1,8,0,3,1,6,0.2,2,0.7,4.02777777777778
"317591","Electric",8,"Autonomous",30,0,5,20,40,1,2,1,6,1,3,0.5,2,1,8,1,7,0.2,1,0.4,3,0.7,3.86111111111111
"341783","Electric",8,"Autonomous",30,0,10,40,40,1,2,1,6,1,3,0.5,2,1,8,0.7,6,0.4,3,0.4,3,0.7,3.88888888888889
"359978","Electric",6,"Autonomous",60,0,5,80,40,1,2,0.7,4,1,3,0.8,3,1,8,1,7,0.6,4,0.4,3,0.7,3.88888888888889
