"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"96998","Electric",6,"Autonomous",120,0,60,100,10,1,2,0.7,4,1,3,1,4,1,8,0.4,5,0.8,5,0,1,0.7,0.779005524861878
"97052","Electric",6,"Autonomous",150,0,60,100,10,1,2,0.7,4,1,3,1,5,1,8,0.4,5,0.8,5,0,1,0.7,0.81767955801105
"97106","Electric",6,"Autonomous",180,0,60,100,10,1,2,0.7,4,1,3,1,5,1,8,0.4,5,0.8,5,0,1,0.7,0.81767955801105
"105966","Hybrid",8,"Autonomous",60,0,5,150,10,0.5,2.5,1,6,1,3,0.8,3,1,8,1,7,1,6,0,1,0.7,0.87292817679558
"109418","Electric",6,"Autonomous",90,5,10,150,10,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,1,6,0,1,0.7,0.784530386740331
"109472","Electric",6,"Autonomous",120,5,10,150,10,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,1,6,0,1,0.7,0.784530386740331
"109526","Electric",6,"Autonomous",150,5,10,150,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,0.823204419889503
"109580","Electric",6,"Autonomous",180,5,10,150,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,0.823204419889503
"121031","Electric",8,"Autonomous",30,0,120,150,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,0.74585635359116
"124055","Electric",8,"Autonomous",30,0,360,150,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,0.74585635359116
"127134","Hybrid",8,"Autonomous",60,0,5,200,10,0.5,2.5,1,6,1,3,0.8,3,1,8,1,7,1,6,0,1,0.7,0.87292817679558
"130586","Electric",6,"Autonomous",90,5,10,200,10,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,1,6,0,1,0.7,0.784530386740331
"130640","Electric",6,"Autonomous",120,5,10,200,10,1,2,0.7,4,1,3,1,4,0.7,7,0.7,6,1,6,0,1,0.7,0.784530386740331
"130694","Electric",6,"Autonomous",150,5,10,200,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,0.823204419889503
"130748","Electric",6,"Autonomous",180,5,10,200,10,1,2,0.7,4,1,3,1,5,0.7,7,0.7,6,1,6,0,1,0.7,0.823204419889503
"142199","Electric",8,"Autonomous",30,0,120,200,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,0.74585635359116
"145223","Electric",8,"Autonomous",30,0,360,200,10,1,2,1,6,1,3,0.5,2,1,8,0,3,1,6,0,1,0.7,0.74585635359116
"211860","Hybrid",8,"Autonomous",90,0,5,80,20,0.5,2.5,1,6,1,3,1,4,1,8,1,7,0.6,4,0.2,2,0.7,0.895027624309392
"211914","Hybrid",8,"Autonomous",120,0,5,80,20,0.5,2.5,1,6,1,3,1,4,1,8,1,7,0.6,4,0.2,2,0.7,0.895027624309392
"211968","Hybrid",8,"Autonomous",150,0,5,80,20,0.5,2.5,1,6,1,3,1,5,1,8,1,7,0.6,4,0.2,2,0.7,0.933701657458563
"212022","Hybrid",8,"Autonomous",180,0,5,80,20,0.5,2.5,1,6,1,3,1,5,1,8,1,7,0.6,4,0.2,2,0.7,0.933701657458563
"236052","Hybrid",8,"Autonomous",90,0,10,100,20,0.5,2.5,1,6,1,3,1,4,1,8,0.7,6,0.8,5,0.2,2,0.7,0.889502762430939
"236106","Hybrid",8,"Autonomous",120,0,10,100,20,0.5,2.5,1,6,1,3,1,4,1,8,0.7,6,0.8,5,0.2,2,0.7,0.889502762430939
"236160","Hybrid",8,"Autonomous",150,0,10,100,20,0.5,2.5,1,6,1,3,1,5,1,8,0.7,6,0.8,5,0.2,2,0.7,0.92817679558011
"236214","Hybrid",8,"Autonomous",180,0,10,100,20,0.5,2.5,1,6,1,3,1,5,1,8,0.7,6,0.8,5,0.2,2,0.7,0.92817679558011
"254574","Hybrid",8,"Autonomous",90,5,5,150,20,0.5,2.5,1,6,1,3,1,4,0.7,7,1,7,1,6,0.2,2,0.7,0.895027624309392
"254628","Hybrid",8,"Autonomous",120,5,5,150,20,0.5,2.5,1,6,1,3,1,4,0.7,7,1,7,1,6,0.2,2,0.7,0.895027624309392
"254682","Hybrid",8,"Autonomous",150,5,5,150,20,0.5,2.5,1,6,1,3,1,5,0.7,7,1,7,1,6,0.2,2,0.7,0.933701657458563
"254736","Hybrid",8,"Autonomous",180,5,5,150,20,0.5,2.5,1,6,1,3,1,5,0.7,7,1,7,1,6,0.2,2,0.7,0.933701657458563
"260244","Hybrid",8,"Autonomous",90,0,30,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,0.883977900552486
"260298","Hybrid",8,"Autonomous",120,0,30,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,0.883977900552486
"260352","Hybrid",8,"Autonomous",150,0,30,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,0.922651933701657
"260406","Hybrid",8,"Autonomous",180,0,30,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,0.922651933701657
"263268","Hybrid",8,"Autonomous",90,0,45,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,0.883977900552486
"263322","Hybrid",8,"Autonomous",120,0,45,150,20,0.5,2.5,1,6,1,3,1,4,1,8,0.4,5,1,6,0.2,2,0.7,0.883977900552486
"263376","Hybrid",8,"Autonomous",150,0,45,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,0.922651933701657
"263430","Hybrid",8,"Autonomous",180,0,45,150,20,0.5,2.5,1,6,1,3,1,5,1,8,0.4,5,1,6,0.2,2,0.7,0.922651933701657
