"","power_wt","psg_wt","pilot_wt","range_wt","toffdist_wt","recharge_time_wt","airspeed_wt","grdspeed_wt","utility","cost"
"14771",1,1,1,0.5,1,0.5,1,0.5,0.733333333333333,5150
"14804",1,0.7,1,1,1,0.5,1,0.5,0.728888888888889,5320
"14807",1,1,1,1,1,0.5,1,0.5,0.788888888888889,5500
"14808",0.5,1,1,1,1,0.5,1,0.5,0.711111111111111,5500
"14819",1,1,0.5,1,1,0.5,1,0.5,0.722222222222222,5500
"14831",1,1,0.2,1,1,0.5,1,0.5,0.682222222222222,5500
"14915",1,1,1,0.5,0.5,0.5,1,0.5,0.688888888888889,5150
"14948",1,0.7,1,1,0.5,0.5,1,0.5,0.684444444444444,5320
"14951",1,1,1,1,0.5,0.5,1,0.5,0.744444444444444,5500
"14963",1,1,0.5,1,0.5,0.5,1,0.5,0.677777777777778,5500
"15095",1,1,1,1,0,0.5,1,0.5,0.7,5500
"15203",1,1,1,0.5,1,0,1,0.5,0.711111111111111,5000
"15236",1,0.7,1,1,1,0,1,0.5,0.706666666666667,5170
"15239",1,1,1,1,1,0,1,0.5,0.766666666666667,5350
"15240",0.5,1,1,1,1,0,1,0.5,0.688888888888889,5350
"15251",1,1,0.5,1,1,0,1,0.5,0.7,5350
"15383",1,1,1,1,0.5,0,1,0.5,0.722222222222222,5350
"15527",1,1,1,1,0,0,1,0.5,0.677777777777778,5350
"15635",1,1,1,0.5,1,1,0,1,0.7,5150
"15668",1,0.7,1,1,1,1,0,1,0.695555555555556,5320
"15671",1,1,1,1,1,1,0,1,0.755555555555556,5500
"15672",0.5,1,1,1,1,1,0,1,0.677777777777778,5500
"15683",1,1,0.5,1,1,1,0,1,0.688888888888889,5500
"15815",1,1,1,1,0.5,1,0,1,0.711111111111111,5500
"16067",1,1,1,0.5,1,0.5,0,1,0.677777777777778,5000
"16100",1,0.7,1,1,1,0.5,0,1,0.673333333333333,5170
"16103",1,1,1,1,1,0.5,0,1,0.733333333333333,5350
"16247",1,1,1,1,0.5,0.5,0,1,0.688888888888889,5350
"16535",1,1,1,1,1,0,0,1,0.711111111111111,5200
"16931",1,1,1,0.5,1,1,0.1,1,0.706666666666667,5170
"16964",1,0.7,1,1,1,1,0.1,1,0.702222222222222,5340
"16967",1,1,1,1,1,1,0.1,1,0.762222222222222,5520
"16968",0.5,1,1,1,1,1,0.1,1,0.684444444444444,5520
"16979",1,1,0.5,1,1,1,0.1,1,0.695555555555556,5520
"17111",1,1,1,1,0.5,1,0.1,1,0.717777777777778,5520
"17255",1,1,1,1,0,1,0.1,1,0.673333333333333,5520
"17363",1,1,1,0.5,1,0.5,0.1,1,0.684444444444444,5020
"17396",1,0.7,1,1,1,0.5,0.1,1,0.68,5190
"17399",1,1,1,1,1,0.5,0.1,1,0.74,5370
"17411",1,1,0.5,1,1,0.5,0.1,1,0.673333333333333,5370
"17543",1,1,1,1,0.5,0.5,0.1,1,0.695555555555556,5370
"17831",1,1,1,1,1,0,0.1,1,0.717777777777778,5220
"17975",1,1,1,1,0.5,0,0.1,1,0.673333333333333,5220
"18155",1,1,1,0,1,1,0.5,1,0.677777777777778,4900
"18191",1,1,1,0.1,1,1,0.5,1,0.688888888888889,4970
"18224",1,0.7,1,0.5,1,1,0.5,1,0.673333333333333,5070
"18227",1,1,1,0.5,1,1,0.5,1,0.733333333333333,5250
"18260",1,0.7,1,1,1,1,0.5,1,0.728888888888889,5420
"18263",1,1,1,1,1,1,0.5,1,0.788888888888889,5600
"18264",0.5,1,1,1,1,1,0.5,1,0.711111111111111,5600
"18275",1,1,0.5,1,1,1,0.5,1,0.722222222222222,5600
"18287",1,1,0.2,1,1,1,0.5,1,0.682222222222222,5600
"18371",1,1,1,0.5,0.5,1,0.5,1,0.688888888888889,5250
"18404",1,0.7,1,1,0.5,1,0.5,1,0.684444444444444,5420
"18407",1,1,1,1,0.5,1,0.5,1,0.744444444444444,5600
"18419",1,1,0.5,1,0.5,1,0.5,1,0.677777777777778,5600
"18551",1,1,1,1,0,1,0.5,1,0.7,5600
